DATE,FEDFUNDS
1960-01-01,3.9333333333333333
1960-04-01,3.6966666666666667
1960-07-01,2.9366666666666667
1960-10-01,2.2966666666666667
1961-01-01,2.0033333333333333
1961-04-01,1.7333333333333333
1961-07-01,1.6833333333333333
1961-10-01,2.4000000000000000
1962-01-01,2.4566666666666667
1962-04-01,2.6066666666666667
1962-07-01,2.8466666666666667
1962-10-01,2.9233333333333333
1963-01-01,2.9666666666666667
1963-04-01,2.9633333333333333
1963-07-01,3.3300000000000000
1963-10-01,3.4533333333333333
1964-01-01,3.4633333333333333
1964-04-01,3.4900000000000000
1964-07-01,3.4566666666666667
1964-10-01,3.5766666666666667
1965-01-01,3.9733333333333333
1965-04-01,4.0766666666666667
1965-07-01,4.0733333333333333
1965-10-01,4.1666666666666667
1966-01-01,4.5566666666666667
1966-04-01,4.9133333333333333
1966-07-01,5.4100000000000000
1966-10-01,5.5633333333333333
1967-01-01,4.8233333333333333
1967-04-01,3.9900000000000000
1967-07-01,3.8933333333333333
1967-10-01,4.1733333333333333
1968-01-01,4.7866666666666667
1968-04-01,5.9800000000000000
1968-07-01,5.9433333333333333
1968-10-01,5.9166666666666667
1969-01-01,6.5666666666666667
1969-04-01,8.3266666666666667
1969-07-01,8.9833333333333333
1969-10-01,8.9400000000000000
1970-01-01,8.5733333333333333
1970-04-01,7.8800000000000000
1970-07-01,6.7033333333333333
1970-10-01,5.5666666666666667
1971-01-01,3.8566666666666667
1971-04-01,4.5633333333333333
1971-07-01,5.4733333333333333
1971-10-01,4.7500000000000000
1972-01-01,3.5400000000000000
1972-04-01,4.3000000000000000
1972-07-01,4.7400000000000000
1972-10-01,5.1433333333333333
1973-01-01,6.5366666666666667
1973-04-01,7.8166666666666667
1973-07-01,10.5600000000000000
1973-10-01,9.9966666666666667
1974-01-01,9.3233333333333333
1974-04-01,11.2500000000000000
1974-07-01,12.0900000000000000
1974-10-01,9.3466666666666667
1975-01-01,6.3033333333333333
1975-04-01,5.4200000000000000
1975-07-01,6.1600000000000000
1975-10-01,5.4133333333333333
1976-01-01,4.8266666666666667
1976-04-01,5.1966666666666667
1976-07-01,5.2833333333333333
1976-10-01,4.8733333333333333
1977-01-01,4.6600000000000000
