,Year,Real GDP,log Real GDP,diff Real GDP,Real Consumption,log Real Consumption,diff real consumption,Real Investment,log Real Investment,diff Real Investment,Real Gov expenditure,Fed Funds,Labor Hours,log Labor Hours,diff Labor Hours,real Wage,log real wage,diff real wage,log price deflator,inflation
5,1961Q1,32.18507462686567,3.4715028241865475,0.0067920368020661925,17.45074626865672,2.859382413846125,0.008164893443280086,12.644776119402986,2.5372441748962307,0.014031556596262984,7.534328358208955,0.004333333333333333,96.48700000000001,4.569408284244149,-0.002318865623590405,0.46,-0.7765287894989963,0.011701242392600175,2.8183982582710754,0.0021515666918312526
6,1961Q2,32.80719518732503,3.4906478568002384,0.019145032613690827,17.642504020489604,2.870310991779437,0.010928577933312145,13.002561200786227,2.5651463535016368,0.027902178605406114,7.582345583417713,0.004208333333333333,97.053,4.575257221038338,0.005848936794189186,0.4623265233188397,-0.7714838771075465,0.005044912391449774,2.820723910054261,0.002325651783185556
7,1961Q3,33.460076045627375,3.510352968288533,0.01970511148829468,17.686549429657795,2.8728044314664314,0.0024934396869942255,13.397100760456274,2.595038322387434,0.029891968885797038,7.72338403041825,0.006,98.29299999999999,4.58795281403767,0.012695592999331318,0.464472433460076,-0.7668530691845364,0.004630807923010072,2.8232818365552994,0.0025579265010384766
8,1961Q4,34.1131181522061,3.5296820068583603,0.01932903856982726,17.93899911163755,2.8869770641956607,0.014172632729229306,13.56825584838614,2.6077329356219185,0.01269461323448473,7.906425821735267,0.006141666666666668,98.654,4.591618779036363,0.0036659649986932052,0.4704175303523837,-0.7541346161865361,0.01271845299800034,2.826425653837531,0.0031438172822317867
9,1962Q1,34.76313928823945,3.5485576095596865,0.018875602701326155,18.09450860240396,2.8956085001066985,0.008631435911037766,13.8993636577893,2.631843059073551,0.024110123451632326,8.078010841385812,0.006516666666666667,99.829,4.603458722269214,0.011839943232851091,0.4711289182182418,-0.7526235107019248,0.0015111054846113081,2.8315649273400787,0.005139273502547503
10,1962Q2,35.03735513853756,3.5564147820132215,0.00785717245353501,18.324607329842934,2.9082448194308754,0.01263631932417697,13.8478734043179,2.6281316760295437,-0.0037113830440071993,8.141655391493618,0.007116666666666667,99.62,4.601362947645137,-0.0020957746240766184,0.4737337490440614,-0.7471098259832248,0.005513684718699952,2.8331545187966327,0.0015895914565540181
11,1962Q3,35.48576460228941,3.5691316189419178,0.012716836928696296,18.47373055474024,2.9163497529574314,0.008104933526555946,13.982976225418255,2.63784060580827,0.009708929778726283,8.341649545054299,0.007308333333333333,98.99,4.595018834931716,-0.006344112713421168,0.4770179043146463,-0.740201253547395,0.006908572435829874,2.83527005111293,0.0021155323162971307
12,1962Q4,35.68834212067955,3.5748240842146575,0.0056924652727397,18.69361452841242,2.9281819964778486,0.01183224352041723,13.854715875805507,2.6286256711256386,-0.009214934682631348,8.412419449326302,0.007416666666666667,99.588,4.6010416754043115,0.00602284047259527,0.48078500292911547,-0.7323350881587746,0.007866165388620394,2.837322536806349,0.0020524856934192037
13,1963Q1,36.027996500437446,3.5842963167869697,0.009472232572312222,18.763487897346163,2.931912848330097,0.003730851852248307,14.126567512394283,2.6480572452041082,0.019431574078469627,8.381452318460193,0.007408333333333334,100.22,4.607367769531579,0.006326094127267368,0.4810731991834354,-0.7317358392002249,0.0005992489585496807,2.8417065859148836,0.004384049108534516
14,1963Q2,36.34352256186317,3.593015991728266,0.00871967494129633,18.893740902474526,2.9388306980357317,0.006917849705634804,14.235807860262009,2.6557604708065137,0.007703225602405439,8.390101892285298,0.008325,100.49,4.610058220060867,0.0026904505292879577,0.4851819505094614,-0.7232313027083433,0.008504536491881542,2.8434548381084133,0.001748252193529698
15,1963Q3,37.207814862193274,3.61651881615671,0.02350282442844387,19.22898011396674,2.9564185219990424,0.01758782396331071,14.524944761018721,2.6758674997027723,0.020107028896258594,8.716129782532853,0.008633333333333333,101.27600000000001,4.6178494631451645,0.007791243084297683,0.49005698337015924,-0.7132336020467623,0.00999770066158101,2.844793097988705,0.0013382598802915702
16,1963Q4,37.388244794370415,3.6213563447036963,0.0048375285469863805,19.282459479725443,2.9591958474223024,0.0027773254232599243,14.564226798177309,2.678568302711664,0.00270080300889175,8.709696025840687,0.008658333333333334,103.226,4.636920759300914,0.019071296155749096,0.48537809309569124,-0.7228271183609813,-0.009593516314219008,2.8528429460037508,0.008049848015045935
