4	0.482359949
9	0.21665686
14	0.092591623
19	0.049473226
24	0.031397291
29	0.021542855
34	0.015801151
39	0.011847888
44	0.009307797
49	0.007457313
59	0.011325843
69	0.007940958
79	0.005988763
89	0.004677303
99	0.003753013
124	0.00683308
149	0.004509741
174	0.003126242
199	0.002215598
224	0.001685936
249	0.001293212
299	0.001867145
349	0.001285596
399	0.000873831
449	0.000649621
499	0.000511097
599	0.000705634
699	0.000463018
799	0.000331475
899	0.0002469
999	0.000184065
1249	0.000311482
1499	0.000191522
1749	0.000130432
1999	9.10802E-05
2249	7.14044E-05
2499	5.42673E-05
2999	6.96589E-05
3499	4.42707E-05
3999	3.09419E-05
4499	1.96759E-05
4999	1.60263E-05
9999	5.06178E-05
10000	1.45982E-05
